oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor;Fremd-/Störstoffbeschreibung;Störstoffklasse
5541250a-f8d8-4c67-9f24-47ab54686c30;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;165;2024-Q4;Kunstharzputz;83;organ. Putz;Dep-;Dep-;0.0;ohne Fremd-/Störstoffe;S0
592ffe6e-4c21-4a24-ba67-273acbfca373;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;45;2024-Q4;Dachziegel / Ton-;26;Tondachziegel;RC+;RC+;1.0;ohne Fremd-/Störstoffe;S0
b4cfc1a1-d1dc-413f-ab48-d6d52e498837;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;337;2024-Q4;WDVS Verklebung und Beschichtung Silikonharzputz;83;organ. Putz;Dep-;Dep-;0.0;ohne Fremd-/Störstoffe;S0
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0;ohne Fremd-/Störstoffe;S0
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0;stahlbewehrung;S2
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0;"feinkörn. Material (Putze, Mörtel); org. Verbind., Bitumenreste, Gips in geringen Mengen (z.B. Feuchteabdichtungen, Spachteln, Anstriche)";S2
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0;"org. V., Bitumen, Gips, Leichtanteile in größeren Mengen (z.B. Gipsputz, Bitumendickschicht, Folien, Flüssigabdichtungen, Dämmstoffreste); Epoxidharz in geringen Mengen (Fugenmassen bei WU Beton, Feuchteabdichtung)";S3
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0;reaktionsharzbeschichtung (z.b. kunstharzbelag);S4
514d0f56-13d8-45a3-9267-01be064d6ce3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;166;2024-Q4;Kunststeinplatte (Epoxidharz gebunden);84;Kunststein;Dep-;Dep-;0.0;ohne Fremd-/Störstoffe;S0
514d0f56-13d8-45a3-9267-01be064d6ce3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;166;2024-Q4;Kunststeinplatte (Epoxidharz gebunden);84;Kunststein;Dep-;Dep-;0.0;kalkmörtel (leicht trennbar);S1
514d0f56-13d8-45a3-9267-01be064d6ce3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;166;2024-Q4;Kunststeinplatte (Epoxidharz gebunden);84;Kunststein;Dep-;Dep-;0.0;kalkzementmörtel, imprägnierung;S2
