productName,UUID,S0,S1,S2,S3,S4
Zinkbleche,26353b00-6cd3-426d-903b-9fc5b1670398,0.88,0.0,0.95,0.025,0.005
CR Profil (Chloropren-Kautschuk),5f091578-7d83-46de-bfba-754087398afe,0.605,0.05,0.285,0.305,0.335
Holz-Blendrahmen,530ff9e2-0189-4783-9546-3bb8f64fbbeb,0.945,0.46,0.625,0.26,0.49
Kunstharzputz,5541250a-f8d8-4c67-9f24-47ab54686c30,0.985,0.055,0.095,0.305,0.015
Dachziegel / Ton-,592ffe6e-4c21-4a24-ba67-273acbfca373,0.92,0.0,0.335,0.275,0.105
WDVS Verklebung und Beschichtung Silikonharzputz,b4cfc1a1-d1dc-413f-ab48-d6d52e498837,0.985,0.055,0.095,0.305,0.015
Dachsteine / Beton-,ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e,0.92,0.0,0.775,0.7,0.625
Kunststoffprofil CR (Chloropren-Kautschuk),2630158e-fc89-4b2d-bb7d-4a193fb58324,0.605,0.05,0.285,0.305,0.335
Kunststeinplatte (Epoxidharz gebunden),514d0f56-13d8-45a3-9267-01be064d6ce3,0.92,0.73,0.775,0.28,0.025
Kunststoffmodifizierte Bitumendickbeschichtung,85c48e5f-299c-463b-9aaf-da332a29dfe0,0.605,0.05,0.285,0.305,0.335
Holz-FlÃ¼gelrahmen,b0c75d7b-4cce-41cf-b785-1db434ee9c3f,0.945,0.46,0.625,0.26,0.49
Calciumsulfatestrich,3abc810c-ef3a-4ab4-b6d8-0217716e213e,0.77,0.33,0.73,0.9,0.055
PUR-Dichtmasse,92ddc155-28e8-44d5-8e15-b7475f5d6872,0.605,0.05,0.285,0.305,0.335
Sand 0/2 getrocknet,0d027c8c-89dc-486e-8390-b4649f5e6ed8,0.98,0.0,0.335,0.115,0.01
Kunststoffprofil EPDM,432e4b39-301e-4154-ac8a-ac635d6c36ad,0.99,0.0,0.13,0.77,0.015
Sand 0/2,286b0072-1001-4e5f-baa2-282230755243,0.98,0.0,0.335,0.115,0.01
Kunststoffprofil PP mit Glasfaseranteil,a632df4b-08f4-4b10-95bc-73e92d7255b6,0.995,0.0,0.22,0.695,0.0
Brechsand 0/2 (getrocknet),b461219e-87df-4a40-b12a-5c6a10a99bf1,0.98,0.0,0.335,0.115,0.01
Kunstharzestrich,83514986-e053-4b4b-9570-c04f37babb24,0.96,0.155,0.215,0.455,0.015
Kraftpapier (Baupappe),94c64884-f86e-44b1-9e55-8570cce6f43d,0.935,0.32,0.51,0.34,0.32
"Spanplatte, melaminbeschichtet",bfa45a2b-0f25-4dea-b550-50f3d49a548f,0.91,0.29,0.71,0.415,0.035
Korklinoleum FuÃbodenbelag,a7c7dd86-4cbe-487c-89f9-1bdd8ebdabec,1.0,0.0,0.865,0.135,0.0
Schotter 16/32 (getrocknet),321a3ced-7d27-4bc0-bb6e-eb1cca5e3ccb,1.0,0.0,0.0,0.0,0.0
Drei-Schichtholzplatte,e298e69e-ec22-4c73-b643-7444520133a4,0.02,0.015,0.995,0.985,0.005
Splitt 2/15,f501dc99-706c-4b15-aaec-2cca2b409b41,1.0,0.0,0.0,0.0,0.0
Isolierglas 2-Scheiben,d7bf4202-d1a8-4f3e-8861-c3d78cd2bf70,0.93,0.145,0.345,0.61,0.045
Splitt 2/15 (getrocknet),08dd6b43-d77b-48fe-8c97-c68294ed4f75,1.0,0.0,0.0,0.0,0.0
Dreifachverglasung,ba58d8b9-945b-4428-b4e0-aecda8b3df18,0.93,0.145,0.345,0.61,0.045
WDVS Verklebung und Beschichtung Silikat-Dispersionsputz,ba9c150e-4334-4bdf-ba93-337ea848c7ea,0.98,0.055,0.15,0.575,0.02
WDVS Verklebung und Beschichtung Leichtputz mineralisch,7e8801e0-c0e4-4995-bf8a-883181f6aa20,0.98,0.055,0.15,0.575,0.02
