t_value,material_name,thickness_mm,database,life_cycle,process,uuid,subcomponent_id,main_component_id,main_component_name,subcomponent_name
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",Ökobau.dat 2009,Herstellung,Innenfarbe Dispersionsfarbe scheuerfest,fe322638-133c-476b-b7e1-3ef4508e6854,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",Ökobau.dat 2011,Herstellung,Innenfarbe Dispersionsfarbe scheuerfest,345bd098-f17b-4217-9b12-2124222e93e2,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",OeKOBAUDAT_2016-I_A1,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",OBD_2020_II_A1,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",OBD_2021_II_A1,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",Ökobilanzierung-Rechenwerte 2023 V1.3,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",OBD_2023_I_A1,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Innenfarbe Dispersionsfarbe scheuerfest,"0,3",OBD_2023_I_A2,A1 - A3 Aggregation,Innenfarbe Dispersionsfarbe scheuerfest,fd7496b3-e4d0-45f6-838b-4db5bc3a66e8,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,Ökobau.dat 2009,Herstellung,Gipsputz (Gips),a851bc4c-2625-4a84-ac25-254e0b2bb341,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,Ökobau.dat 2011,Herstellung,Gipsputz (Gips),b17878d7-c065-4a64-9a99-c33ef0772568,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,OeKOBAUDAT_2016-I_A1,A1 - A3 Aggregation,Gipsputz (Gips),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,OBD_2020_II_A1,A1 - A3 Aggregation,Gipsputz (Gips),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,OBD_2021_II_A1,A1 - A3 Aggregation,Gipsputz (Gips),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,Ökobilanzierung-Rechenwerte 2023 V1.3,A1 - A3 Aggregation,Gipsputz (Gips),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Gipsputz (Gips),20,OBD_2023_I_A1,A1 - A3 Aggregation,Gipsputz (Gips),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,450082,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Gips-Putz/Anstrich
246,Kalksandstein Mix,240,OeKOBAUDAT_2016-I_A1,A1 - A3 Aggregation,Kalksandstein Mix,29e6c6cf-0552-4e4b-85c7-26a68a625252,450083,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Kalksandstein 24cm
246,Kalksandstein Mix,240,OBD_2020_II_A1,A1 - A3 Aggregation,Kalksandstein Mix,29e6c6cf-0552-4e4b-85c7-26a68a625252,450083,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Kalksandstein 24cm
246,Kalksandstein Mix,240,OBD_2021_II_A1,A1 - A3 Aggregation,Kalksandstein Mix,29e6c6cf-0552-4e4b-85c7-26a68a625252,450083,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Kalksandstein 24cm
246,Kalksandstein Mix,240,Ökobilanzierung-Rechenwerte 2023 V1.3,A1 - A3 Aggregation,Kalksandstein Mix,29e6c6cf-0552-4e4b-85c7-26a68a625252,450083,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Kalksandstein 24cm
246,Kalksandstein Mix,240,OBD_2023_I_A1,A1 - A3 Aggregation,Kalksandstein Mix,29e6c6cf-0552-4e4b-85c7-26a68a625252,450083,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,Kalksandstein 24cm
246,Armierung (Kunstharzspachtel),2,Ökobau.dat 2009,Herstellung,Armierung (Kunstharzspachtel),6a504b03-51f0-42ac-90ad-201f0caf83bc,450084,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,WDVS (Roe)
246,Armierung (Kunstharzspachtel),2,Ökobau.dat 2011,Herstellung,Armierung (Kunstharzspachtel),8d413c0e-5a24-4437-8880-412c902328b8,450084,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,WDVS (Roe)
246,Armierung (Kunstharzspachtel),2,OeKOBAUDAT_2016-I_A1,A1 - A3 Aggregation,Armierung (Kunstharzspachtel),55a89d7b-b585-404f-be34-bb7285730a89,450084,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,WDVS (Roe)
246,Armierung (Kunstharzspachtel),2,OBD_2020_II_A1,A1 - A3 Aggregation,Armierung (Kunstharzspachtel),55a89d7b-b585-404f-be34-bb7285730a89,450084,450081.0,Außenwand / einschaliges Mauerwerk / WDVS mit Fenster,WDVS (Roe)
