oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor
26353b00-6cd3-426d-903b-9fc5b1670398;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;345;2024-Q4;Zinkbleche;139;Zink;CL+;CL+;1.0
5f091578-7d83-46de-bfba-754087398afe;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;42;2024-Q4;CR Profil (Chloropren-Kautschuk);24;KSTProfil (Halog);EB;EB;0.0
530ff9e2-0189-4783-9546-3bb8f64fbbeb;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;119;2024-Q4;Holz-Blendrahmen;29;Holzrahmen;EV+;EV+;0.0
5541250a-f8d8-4c67-9f24-47ab54686c30;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;165;2024-Q4;Kunstharzputz;83;organ. Putz;Dep-;Dep-;0.0
592ffe6e-4c21-4a24-ba67-273acbfca373;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;45;2024-Q4;Dachziegel / Ton-;26;Tondachziegel;RC+;RC+;1.0
b4cfc1a1-d1dc-413f-ab48-d6d52e498837;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;337;2024-Q4;WDVS Verklebung und Beschichtung Silikonharzputz;83;organ. Putz;Dep-;Dep-;0.0
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;44;2024-Q4;Dachsteine / Beton-;25;Betondachstein;RC+;RC+;1.0
2630158e-fc89-4b2d-bb7d-4a193fb58324;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;168;2024-Q4;Kunststoffprofil CR (Chloropren-Kautschuk);24;KSTProfil (Halog);EB;EB;0.0
514d0f56-13d8-45a3-9267-01be064d6ce3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;166;2024-Q4;Kunststeinplatte (Epoxidharz gebunden);84;Kunststein;Dep-;Dep-;0.0
85c48e5f-299c-463b-9aaf-da332a29dfe0;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;167;2024-Q4;Kunststoffmodifizierte Bitumendickbeschichtung;85;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung, Dichtmassen..;EB;EB;0.0
